,SalePrice,GrLivArea
448,119500,1376
449,120000,1183
450,110000,813
455,175500,1242
457,256000,1663
458,161000,1666
461,155000,1135
463,188700,1660
467,146500,1644
471,190000,1969
475,132500,970
479,89471,1131
482,155000,1826
484,132500,999
485,147000,1113
486,156000,1073
487,175000,1484
489,86000,630
490,115000,1304
491,133000,1578
493,155000,1269
494,91300,886
497,184000,1820
498,130000,899
499,120000,912
502,140000,1214
503,289000,1801
508,161000,1378
509,124500,1041
510,164900,1363
516,158000,2119
519,234000,2080
520,106250,1294
521,150000,1244
522,159000,1664
526,132000,928
528,86000,605
531,128000,1362
532,107500,827
535,107500,1347
546,210000,1635
547,129500,768
548,125000,825
550,140000,1069
551,112500,928
555,113000,1048
557,108000,1336
560,121500,1392
562,108000,996
563,185000,1674
568,316600,2132
571,120000,864
574,139000,1109
576,145000,1477
577,164500,1320
580,181900,1429
583,325000,2775
584,133000,1573
586,130000,838
587,137000,860
588,143000,1473
589,79500,935
592,138000,816
594,110000,924
596,114504,1368
598,217500,1647
599,151000,1556
601,141000,1375
605,205000,1986
607,225000,2008
608,359100,3194
611,148000,1032
614,75500,630
615,137500,1054
617,105500,832
621,240000,2614
622,135000,980
625,160000,1116
627,153000,1520
630,124000,1750
633,139400,1056
635,200000,3395
638,85000,796
642,345000,2704
649,84500,630
650,205950,1665
653,135000,1469
654,350000,2113
656,145500,1053
657,149000,1502
659,167000,1486
660,197900,1935
661,402000,2448
668,168000,1437
671,103600,1369
672,165000,1208
673,257500,1839
674,140000,1136
675,148500,1441
677,109500,792
686,227875,1761
688,392000,1419
691,755000,4316
693,108480,1073
694,141500,1539
695,176000,1137
696,89000,616
697,123500,1148
698,138500,894
703,140000,1812
709,109900,904
710,52000,729
711,102776,1178
714,130500,1479
716,159500,2554
717,157000,1178
719,128500,971
722,124500,864
723,135000,1470
725,120500,864
726,222000,1680
733,131400,1144
735,163000,1768
740,132000,1432
741,142000,912
743,175000,1464
745,299800,2715
747,265979,2640
750,96500,1140
754,156000,1026
760,127500,864
767,160000,1750
783,165500,1110
784,128000,1484
786,139000,1652
788,107900,901
789,187500,2087
795,171000,1564
799,175000,1768
801,109900,1196
807,223500,1576
810,181000,1309
813,157900,1442
814,116000,1250
816,137000,1008
818,155000,1052
823,139500,1489
826,109500,784
832,237000,1829
833,167000,1516
834,139950,1144
835,128000,1067
836,153500,1559
838,144000,1099
839,130500,1200
840,140000,1482
841,157500,1539
842,174900,1165
844,153900,1416
847,133500,864
848,240000,2358
849,187000,1855
853,158000,1445
855,127000,1040
856,147000,1026
859,250000,2654
860,189950,1426
865,148500,1002
868,169000,2320
872,116000,910
873,133000,1268
874,66500,1131
878,148000,1155
879,136500,864
887,135500,1393
888,268000,2217
890,122900,924
892,154500,1068
896,106500,951
899,135000,1236
900,110000,858
901,153000,1306
904,125500,902
907,250000,2057
911,143500,1268
912,88000,1015
913,145000,2002
917,135000,1229
919,176500,1414
921,145900,2200
924,207500,1686
925,175000,1126
931,117500,925
934,242000,2069
939,244400,2403
944,137500,1344
945,124900,1869
946,143000,1144
949,197500,1381
950,129000,864
952,133900,768
955,145000,1958
956,124000,1229
960,116500,858
961,272000,2872
962,155000,1548
966,160000,1308
967,135000,1098
968,37900,968
974,167500,2019
976,85500,869
979,139000,1121
980,178400,999
986,117000,1635
988,195000,2030
991,168000,1742
992,187000,1851
995,121600,1230
996,136500,1050
997,185000,1442
1001,86000,691
1003,136905,1680
1005,149900,985
1012,165000,1502
1015,227000,1665
1024,287000,2898
1029,118000,1218
1030,160000,1928
1032,310000,2520
1034,119750,954
1038,97000,1344
1041,173000,1632
1049,84900,930
1052,165000,1977
1053,144500,1526
1057,248000,1850
1059,220000,1991
1063,110500,1103
1064,154000,1154
1066,178000,1571
1067,167900,1611
1069,135000,893
1071,154000,1556
1073,159500,1426
1075,219500,1740
1076,170000,1466
1080,145000,1258
1083,160000,1251
1085,147000,996
1093,146000,1200
1094,129000,936
1096,127000,1355
1098,128000,1324
1102,135000,1134
1103,159500,1194
1111,205000,1964
1112,129900,816
1113,134500,1008
1114,117000,833
1117,130000,894
1118,140000,1601
1123,118000,698
1137,94000,1020
1140,139000,952
1141,197500,1868
1145,149000,1576
1147,174500,1564
1148,116900,1111
1149,143000,1482
1152,230000,1811
1153,120500,816
1154,201800,1820
1155,218000,1437
1156,179900,1265
1159,185000,1876
1161,224000,1640
1164,194000,1432
1168,235000,2108
1170,171000,1118
1171,163000,1261
1173,200500,3086
1174,239000,2345
1177,115000,1224
1178,154900,1343
1183,120000,1130
1185,104900,1221
1192,125000,1472
1194,158000,1352
1197,144000,1690
1202,117000,1348
1204,153500,1074
1205,271900,2196
1208,140000,1283
1211,164000,1752
1212,113000,672
1213,145000,960
1222,143000,1846
1225,145000,1138
1227,147000,912
1231,132500,1190
1234,130000,1964
1241,248328,1689
1242,170000,1173
1244,230000,1517
1245,178000,1868
1249,119000,988
1252,130000,874
1253,294000,2167
1255,127500,1367
1257,99900,864
1259,151000,1054
1261,128900,1050
1263,180500,1824
1268,381000,3447
1270,260000,1524
1271,185750,1489
1272,137000,935
1273,177000,1357
1274,139000,1250
1276,162000,1395
1282,150500,1040
1284,169000,2447
1285,132500,1412
1290,180500,1152
1291,119500,1302
1294,115000,864
1296,155000,1128
1299,154000,1246
1301,177500,1494
1308,147000,1122
1310,335000,1902
1314,119000,948
1321,72500,720
1323,82500,708
1326,79000,774
1327,130500,816
1328,256000,2792
1332,100000,816
1333,125500,1360
1334,125000,1365
1339,128500,864
1343,177000,1913
1346,262500,2156
1351,171000,1716
1352,134900,1176
1355,170000,1920
1357,149900,1078
1360,189000,2601
1367,127000,1475
1370,105000,1374
1371,165500,1661
1372,274300,2097
1381,237500,2117
1382,157000,1762
1383,112000,1416
1385,125500,1154
1387,136000,2526
1389,131000,1218
1393,163000,1912
1397,137500,1513
1399,137450,1608
1400,120000,1158
1406,133000,768
1408,125500,1363
1409,215000,2093
1411,140000,1668
1414,207000,1848
1416,122500,2290
1420,179900,1416
1423,274970,2201
1425,142000,1252
1427,140000,1558
1428,119000,804
1429,182900,1440
1431,143750,958
1432,64500,968
1435,174000,1537
1436,120500,864
1438,149700,1236
1439,197000,1725
1440,191000,2555
1443,121000,952
1446,157900,1188
1448,112000,1346
1449,92000,630
1456,210000,2073
1457,266500,2340
1458,142125,1078
1459,147500,1256
